	Shih_Tzu	Labrador_Retriever	Golden_Retriever	Dalmatian	Shetland_Sheepdog	Siberian_Husky	Vizsla	Pug	Boxer
Shih_Tzu	0.789365	0.680841	0.680066	0.681948	0.674677	0.681112	0.685824	0.682741	0.610227
Labrador_Retriever	0.680841	0.756704	0.702309	0.693963	0.684949	0.673141	0.696798	0.680055	0.621523
Golden_Retriever	0.680066	0.702309	0.802407	0.691507	0.683012	0.669623	0.694789	0.678257	0.619116
Dalmatian	0.681948	0.693963	0.691507	0.771661	0.684125	0.672566	0.697075	0.679557	0.620055
Shetland_Sheepdog	0.674677	0.684949	0.683012	0.684125	0.815581	0.669446	0.685008	0.673959	0.615476
Siberian_Husky	0.681112	0.673141	0.669623	0.672566	0.669446	0.794254	0.674678	0.66666	0.602086
Vizsla	0.685824	0.696798	0.694789	0.697075	0.685008	0.674678	0.776327	0.683238	0.617895
Pug	0.682741	0.680055	0.678257	0.679557	0.673959	0.66666	0.683238	0.833002	0.611326
Boxer	0.610227	0.621523	0.619116	0.620055	0.615476	0.602086	0.617895	0.611326	0.801087
